epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,59525.5,1.09066,0.80742,1.46352,0.96259,0.93626,0.97284,0.6887,1.06868,0.46211,1.42589,0.000614,0.000614,0.000614
44,60855.3,1.08677,0.79167,1.45528,0.95676,0.9398,0.97345,0.6919,1.05965,0.45169,1.41952,0.000581,0.000581,0.000581
45,62184.3,1.07895,0.80072,1.45567,0.97462,0.92564,0.97216,0.69054,1.067,0.45613,1.421,0.000548,0.000548,0.000548
46,63514.4,1.07563,0.78021,1.4489,0.96792,0.9313,0.97386,0.69233,1.06755,0.45771,1.4219,0.000515,0.000515,0.000515
47,64885.9,1.07123,0.77719,1.44392,0.96566,0.93607,0.97345,0.69265,1.06784,0.45252,1.42596,0.000482,0.000482,0.000482
48,65876.5,1.07267,0.77726,1.44922,0.96577,0.9398,0.97291,0.68723,1.07732,0.44783,1.43149,0.000449,0.000449,0.000449
49,67049.6,1.06859,0.7727,1.44448,0.96349,0.9345,0.97237,0.69144,1.06998,0.44111,1.42616,0.000416,0.000416,0.000416
50,68221.6,1.06878,0.76512,1.43915,0.96773,0.93461,0.97396,0.69018,1.07691,0.44908,1.42777,0.000383,0.000383,0.000383
51,69404.5,0.9121,0.42173,1.40502,0.96298,0.93961,0.97405,0.69185,1.06371,0.44522,1.4181,0.00035,0.00035,0.00035
52,70616.9,0.89996,0.4054,1.39312,0.96631,0.94122,0.97399,0.69017,1.06503,0.44981,1.41894,0.000317,0.000317,0.000317
53,71829.3,0.89048,0.40089,1.39227,0.96644,0.93802,0.97398,0.69253,1.05874,0.45674,1.41315,0.000284,0.000284,0.000284
54,73041.2,0.88502,0.39481,1.382,0.96746,0.93768,0.9736,0.69644,1.05017,0.44947,1.40588,0.000251,0.000251,0.000251
55,74253.7,0.87933,0.38905,1.36696,0.96927,0.93805,0.97338,0.69702,1.04965,0.44273,1.40533,0.000218,0.000218,0.000218
56,75491.1,0.86705,0.3836,1.36246,0.96097,0.94688,0.97469,0.6942,1.05348,0.44395,1.41032,0.000185,0.000185,0.000185
57,76727.4,0.86128,0.37624,1.35949,0.95504,0.94773,0.97418,0.69541,1.047,0.44128,1.40749,0.000152,0.000152,0.000152
58,77964.7,0.85928,0.37241,1.35481,0.96041,0.93839,0.97409,0.69419,1.04455,0.44141,1.40479,0.000119,0.000119,0.000119
59,79176.6,0.85641,0.3677,1.34866,0.96378,0.93697,0.97369,0.69423,1.04774,0.44123,1.40513,8.6e-05,8.6e-05,8.6e-05
60,80388.9,0.8509,0.36508,1.34605,0.96671,0.93626,0.97344,0.69526,1.0458,0.43932,1.40325,5.3e-05,5.3e-05,5.3e-05
