epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,lr
1,0.7776197292884433,0.868195634153081,0.7422048557194673,0.8854907539118065,0.8723342726598887,0.00029953760005996916
2,0.5962148265657673,0.9447361149488809,0.6695919153022224,0.9196301564722618,0.9186951131211087,0.00029815325108927063
3,0.5444691376241628,0.9632495164410058,0.657864016455573,0.9231863442389758,0.9186538761618535,0.0002958554880596515
4,0.5203700593034569,0.9737496546007184,0.595939016104762,0.9537695590327169,0.9516732778361656,0.00029265847744427303
5,0.49941572513195587,0.9793681495809156,0.6159461659523705,0.9416785206258891,0.9400840150890881,0.000288581929876693
6,0.4939228932787461,0.9810260661324491,0.634178885779374,0.9182076813655761,0.9159304860103601,0.0002836509786282552
7,0.48136337237199106,0.9846182186607718,0.5712757859257173,0.9551920341394026,0.9520163832172568,0.00027789602465311383
8,0.4712042208313887,0.9882103711890946,0.604470675607155,0.9366998577524893,0.934398939735522,0.0002713525491562421
9,0.4642141291787087,0.9899603942157134,0.6119544224583068,0.933854907539118,0.92976848967397,0.00026406089484000466
10,0.46510408913835566,0.9888551165146909,0.6163503793021863,0.9374110953058321,0.934840436642958,0.0002560660171779821
11,0.4561894577522573,0.9921709496177581,0.6119297612272998,0.9409672830725462,0.9365736434873411,0.0002474172072495276
12,0.4640629784863463,0.9888551165146909,0.5959923574290269,0.9445234708392604,0.9434875897442339,0.000238167787843871
13,0.453627556922017,0.9917104172423321,0.585233668344967,0.9452347083926032,0.9428983301709557,0.00022837478470739232
14,0.4435002321672997,0.995855208621166,0.5530447119669419,0.9530583214793741,0.9489498563252896,0.000218098574960932
15,0.4437283881573406,0.9953025697706549,0.5540360970313993,0.9523470839260313,0.9496670380862444,0.00020740251485476348
16,0.43330956729635234,0.9976052316477848,0.5670528065089989,0.9473684210526315,0.9459992869390981,0.00019635254915624213
17,0.4358210125669564,0.9966841668969328,0.5609045539098987,0.9509246088193457,0.9490321927551829,0.00018501680457838585
